ARANDELA PLANA - ASTM A325,,,,,,,,,
 , , E1205, DIM., , , E1206, DIM., , 
CÓD. 06,Ø "3/8""",PAVONADA $5.22,Ø INT. 10.90,Ø EXT. 20.00,Ø ESP. 1.50,HDG ,Ø INT. 10.90,Ø EXT. 20.00,Ø ESP. 1.50
 08, "1/2""",60 CTO $6.81, 14.10, 25.40, 2.50, , 14.10, 26.50, 2.50
 10, "5/8""",30 CTO $13.04, 18.30, 32.70, 3.30, , 18.00, 32.60, 3.50
 12, "3/4""",14 CTO $15.91, 21.40, 35.70, 3.10, $17.42, 21.10, 36.60, 3.30
 14, "7/8""",15 CTO $25.88, 24.40, 43.60, 3.60,10 CTO $27.77, 24.10, 43.80, 3.50
 16, "1""",8 CTO $32.58, 28.50, 49.30, 3.60,8 CTO $35.12, 28.20, 49.70, 3.80
 20, "1 1/8""",6 CTO $31.88, 31.70, 55.90, 3.50,6 CTO , , , 
 22, "1 1/4""",5.3 CTO $45.01, 35.40, 63.10, 3.50, , , , 
 24, "1 3/8""",4 CTO , 39.30, 68.20, 3.60, , , , 
 26, "1 1/2""", , 42.70, 74.90, 3.60, , , , 
 27, "1 5/8""", $98.74, 45.50, 81.30, 4.80, , , , 
 28, "1 3/4""",1.5 CTO , 48.10, 85.00, 4.80, , , , 
 29, "1 7/8""", $113.66, 51.70, 87.30, 4.80, , , , 
 30, "2""",1.2 CTO , 55.20, 93.60, 4.80, , , , 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , , , , , , 
