"",,,,,LÍNEA INDUSTRIAL,,,
"",,,,,PERNO HEXAGONAL MÉTRICO RF - CL. 10.9 PAVONADO,,,
"",,,,M2750,M2710 M2762 M2712 M2714 M2716 M2718 M2720,,,
"",CÓD.,,LARGO,M10 X 1.00,M10 X 1.25 M12 X 1.25 M12 X 1.50 M14 X 1.50 M16 X 1.50 M18 X 1.50 M20 x 1.50,M22 x 1.50 M24 x 1.50,,
"",,,,,$48.04 $69.23 $68.89 $91.04 $132.02,,,
"",22,,110,,,,,
"",,,,,2.5 CTO 2.3 CTO 1.7 CTO 1.3 CTO,,,
"",,,,,$51.99 $71.41 $78.82 $99.27 $141.59 $180.26 $224.44,,,
"",24,,120,,,,,
"",,,,,2.8 CTO 2.2 CTO 1.9 CTO 1.5 CTO 1.15 CTO CTO 0.7 CTO,,,
"",,,,,$66.17 $111.13,,,
"",26,,130,,,,,
"",,,,,2 CTO 1.45 CTO,,,
"",,,,,$75.04 $93.07 $124.87 $171.68 $217.21,,,
"",30,,150,,,,,
"",,,,,1.6 CTO 1.8 CTO 1.25 CTO 1 CTO 0.75 CTO,,,
"",,,,,$88.33,,,
"",36,,180,,,,,
"",,,,,CTO,,,
"",38,,200,,,,,
"",40,,230,,,,,
"",42,,250,,,,,
"",44,,300,,,,,
"",46,,320,,,,,
"",,,,,PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,
"",,,,,TUERCA HEXAGONAL MÉTRICA RF - CL. 10 PAVONADA,,,
"",,,,10,10 12 12 14 16 18 20,,,
"",,CÓD.,,M10 X 1.00,M10 X 1.25 M12 X 1.25 M12 X 1.50 M14 X 1.50 M16 X 1.50 M18 X 1.50 M20 x 1.50,M22 x 1.50 M24 x 1.50,,
"",,,,,$33.67,,,
"",,M0802,,,,,,
"",,,,,4.5 CTO,,,
"",,,,,ARANDELA PLANA ESTÁNDAR MÉTRICA - TROPICALIZADA,,,
"",,,,10,10 12 12 14 16 18 20,,,
"",,CÓD.,,M10,M10 M12 M12 M14 M16 M18 M20,M22 M24,,
"",,,,$1.70,$1.70 $3.14 $3.14 $4.99 $6.04 $8.24 $9.59,,,
"",,M1209,,,,,,
"",,,,CTO,CTO CTO CTO CTO CTO CTO CTO,,,
"",,,,,PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,
74,,,,,@dinafastener,Índice,,74
